resId,sampUnitIds,sampId,sampCountry,sampY,sampM,sampD,sampEventInfo,sampSize,sampSizeUnit,sampSizeUnit_desc,sampMatCode,sampMatText,analysisY,analysisM,analysisD,anPortSeq,labId,labAccred,labAccred_desc,paramCode,paramCode_desc,paramText,anMethRefId,anMethCode,anMethCode_desc,anMethText,resUnit,resUnit_desc,resLOD,resLOQ,resVal,resValRec,resValRecCorr,exprResType,exprResType_desc,resQualValue,resType,resType_desc,resValUncert,resValUncertSD
Pst1,sampHoldingId=Flakkebjerg$herdId=4,Ps1,DK,2019,4,26,com=sampT,,,.,A0CVF,Beebread,2019,10,28,1,LAB_ES,L003A,None,RF-0049-001-PPP,Boscalid,Boscalid,HPLC-MS/MS,F698A,HPLC-MS/MS,HPLC-MS/MS,G061A,Milligram/kilogram,0.005,0.01,0.011,,,B001A,Whole weight,POS,VAL,Numerical Value,,
Pol1,sampHoldingId=Flakkebjerg$herdId=2,Po1,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Brassica napus,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,28.8,,,,.,POS,VAL,Numerical Value,,
Pol10,sampHoldingId=Flakkebjerg$herdId=4,Po10,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,48,,,,.,POS,VAL,Numerical Value,,
Pol11,sampHoldingId=Flakkebjerg$herdId=5,Po11,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Salix,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,6,,,,.,POS,VAL,Numerical Value,,
Pol12,sampHoldingId=Flakkebjerg$herdId=5,Po12,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Brassica napus,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,29.2,,,,.,POS,VAL,Numerical Value,,
Pol13,sampHoldingId=Flakkebjerg$herdId=5,Po13,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Prunus/Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,25,,,,.,POS,VAL,Numerical Value,,
Pol14,sampHoldingId=Flakkebjerg$herdId=5,Po14,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,35,,,,.,POS,VAL,Numerical Value,,
Pol15,sampHoldingId=Flakkebjerg$herdId=1,Po15,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Brassica napus,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,15,,,,.,POS,VAL,Numerical Value,,
Pol16,sampHoldingId=Flakkebjerg$herdId=1,Po16,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Prunus/Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,20.6,,,,.,POS,VAL,Numerical Value,,
Pol17,sampHoldingId=Flakkebjerg$herdId=1,Po17,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,51.6,,,,.,POS,VAL,Numerical Value,,
Pol18,sampHoldingId=Flakkebjerg$herdId=1,Po18,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Acer,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,10.4,,,,.,POS,VAL,Numerical Value,,
Pol2,sampHoldingId=Flakkebjerg$herdId=2,Po2,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Prunus/Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,22.8,,,,.,POS,VAL,Numerical Value,,
Pol3,sampHoldingId=Flakkebjerg$herdId=2,Po3,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,34.4,,,,.,POS,VAL,Numerical Value,,
Pol4,sampHoldingId=Flakkebjerg$herdId=2,Po4,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Acer,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,11.2,,,,.,POS,VAL,Numerical Value,,
Pol5,sampHoldingId=Flakkebjerg$herdId=3,Po5,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Brassica napus,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,33.2,,,,.,POS,VAL,Numerical Value,,
Pol6,sampHoldingId=Flakkebjerg$herdId=3,Po6,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Prunus/Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,23.2,,,,.,POS,VAL,Numerical Value,,
Pol7,sampHoldingId=Flakkebjerg$herdId=3,Po7,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,36.8,,,,.,POS,VAL,Numerical Value,,
Pol8,sampHoldingId=Flakkebjerg$herdId=4,Po8,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Brassica napus,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,30,,,,.,POS,VAL,Numerical Value,,
Pol9,sampHoldingId=Flakkebjerg$herdId=4,Po9,DK,2019,4,30,com=sampT 10:00,500,G297A,Grain,A0CVH,Pollen from bees,2019,8,16,1,Pollen_LIB,L003A,None,RF-XXXX-XXX-XXX,Not in list,Prunus/Pyrinae,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G138A,Percent,,,18.8,,,,.,POS,VAL,Numerical Value,,
Vir10,sampHoldingId=Flakkebjerg$herdId=2,Vi10,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir11,sampHoldingId=Flakkebjerg$herdId=2,Vi11,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,3.1,,,,.,,VAL,Numerical Value,,
Vir12,sampHoldingId=Flakkebjerg$herdId=2,Vi12,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,3.7,,,,.,,VAL,Numerical Value,,
Vir13,sampHoldingId=Flakkebjerg$herdId=3,Vi13,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir17,sampHoldingId=Flakkebjerg$herdId=3,Vi17,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir14,sampHoldingId=Flakkebjerg$herdId=3,Vi14,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir15,sampHoldingId=Flakkebjerg$herdId=3,Vi15,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir16,sampHoldingId=Flakkebjerg$herdId=3,Vi16,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,6.9,,,,.,,VAL,Numerical Value,,
Vir18,sampHoldingId=Flakkebjerg$herdId=3,Vi18,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir19,sampHoldingId=Flakkebjerg$herdId=3,Vi19,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2.8,,,,.,,VAL,Numerical Value,,
Vir20,sampHoldingId=Flakkebjerg$herdId=3,Vi20,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,6.5,,,,.,,VAL,Numerical Value,,
Vir21,sampHoldingId=Flakkebjerg$herdId=3,Vi21,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir22,sampHoldingId=Flakkebjerg$herdId=3,Vi22,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir23,sampHoldingId=Flakkebjerg$herdId=3,Vi23,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2.7,,,,.,,VAL,Numerical Value,,
Vir24,sampHoldingId=Flakkebjerg$herdId=3,Vi24,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,8.9,,,,.,,VAL,Numerical Value,,
Vir25,sampHoldingId=Flakkebjerg$herdId=4,Vi25,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir26,sampHoldingId=Flakkebjerg$herdId=4,Vi26,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir27,sampHoldingId=Flakkebjerg$herdId=4,Vi27,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2.3,,,,.,,VAL,Numerical Value,,
Vir28,sampHoldingId=Flakkebjerg$herdId=4,Vi28,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,7,,,,.,,VAL,Numerical Value,,
Vir29,sampHoldingId=Flakkebjerg$herdId=5,Vi29,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir30,sampHoldingId=Flakkebjerg$herdId=5,Vi30,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir31,sampHoldingId=Flakkebjerg$herdId=5,Vi31,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,3.1,,,,.,,VAL,Numerical Value,,
Vir32,sampHoldingId=Flakkebjerg$herdId=5,Vi32,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,7.3,,,,.,,VAL,Numerical Value,,
Vir33,sampHoldingId=Flakkebjerg$herdId=6,Vi33,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2,,,,.,,VAL,Numerical Value,,
Vir37,sampHoldingId=Flakkebjerg$herdId=8,Vi37,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir34,sampHoldingId=Flakkebjerg$herdId=6,Vi34,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir35,sampHoldingId=Flakkebjerg$herdId=6,Vi35,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,1.3,,,,.,,VAL,Numerical Value,,
Vir36,sampHoldingId=Flakkebjerg$herdId=6,Vi36,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,3,,,,.,,VAL,Numerical Value,,
Vir38,sampHoldingId=Flakkebjerg$herdId=8,Vi38,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir39,sampHoldingId=Flakkebjerg$herdId=8,Vi39,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,4.3,,,,.,,VAL,Numerical Value,,
Vir40,sampHoldingId=Flakkebjerg$herdId=8,Vi40,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2.3,,,,.,,VAL,Numerical Value,,
Vir5,sampHoldingId=Flakkebjerg$herdId=1,Vi5,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,24,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,0,,,,.,,VAL,Numerical Value,,
Vir6,sampHoldingId=Flakkebjerg$herdId=1,Vi6,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,1.1,,,,.,,VAL,Numerical Value,,
Vir7,sampHoldingId=Flakkebjerg$herdId=1,Vi7,DK,2019,5,13,com=sampT 08:43,20,G155A,Milligram,A16XC#F01.A04TJ,Larvae,2019,6,21,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,2.1,,,,.,,VAL,Numerical Value,,
