eventId,beeKeeperID,siteNo,hiveNo,eventY,eventM,eventD,eventType,inoutType,inoutQuantity,inoutUnit,inoutUnit_desc,clinicalSigns,eventDescription
CM1641,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,9,23,INPUT,Sucrose,0.3,G167A,Kilogram,No clinical signs,apifonda together with queen shift
CM167,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,9,25,CLINICAL SIGNS,,,,.,Black shiny honey bees,
CM1565,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,8,13,INPUT,Sucrose,3,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM1453,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,5,13,OTHER,,,,.,No clinical signs,112 dead bees in front of hive
CM1334,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,7,9,OTHER,,,,.,No clinical signs,hive 7 here is taken in as a replacement for hive 3
CM410,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,9,10,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1345,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,7,28,OUTPUT,Foundation comb,7.065,G167A,Kilogram,No clinical signs,"""one super with frame no. 1	"""
CM275,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,8,2019,8,11,INPUT,Sucrose,14.8,G167A,Kilogram,No clinical signs,
CM1593,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,7,27,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM261,89D81AA2C010D67185C9217788CBCCF6,5,4,2019,9,12,SAMPLE,,300,G133A,Piece,No clinical signs,Collect bees for disease analysis
CM93,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,6,12,QUEEN LOSS,,,,.,No clinical signs,
CM300,89D81AA2C010D67185C9217788CBCCF6,6,8,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM223,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,9,26,SAMPLE,,,,.,No clinical signs,sample for virus test
CM670,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,7,10,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM1481,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,10,29,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1774,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,4,24,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM92,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,6,12,CLINICAL SIGNS,,,,.,Slumped larvae,
CM731,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2019,7,11,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM264,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,9,13,INPUT,Thymol,1,G133A,Piece,No clinical signs,Apply Apiguard- treatment tray
CM218,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,9,18,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM64,89D81AA2C010D67185C9217788CBCCF6,5,10,2019,3,28,QUEEN LOSS,,,,.,No clinical signs,Dead queen found in front of the hive
CM1147,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,8,18,INPUT,Sucrose,5,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM1166,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,9,21,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol added
CM850,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,4,24,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super added
CM923,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,12,INPUT,Queen excluder,0.48,G167A,Kilogram,No clinical signs,Bee emptier added
CM720,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,9,9,OTHER,,,,.,No clinical signs,668 dead bees in front of hive
CM1790,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,6,18,OTHER,,,,.,No clinical signs,208 dead bees in front of hive
CM1626,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,8,10,OTHER,,,,.,No clinical signs,"""suspects robery	"""
CM319,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,3,9,OUTPUT,No input-output,32,G133A,Piece,No clinical signs,Dead bees in the tray
CM302,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2019,9,6,OUTPUT,Foundation comb,4,G133A,Piece,No clinical signs,"""combs no. 17	"""
CM112,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,5,24,INPUT,Super + 10 frames,2.3,G167A,Kilogram,No clinical signs,
CM1572,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,9,23,SAMPLE,,,,.,No clinical signs,bee sample
CM605,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,7,15,INPUT,Food comb,12.2,G167A,Kilogram,No clinical signs,Add honey supper with honey left from extraction
CM1639,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,9,23,SAMPLE,,,,.,No clinical signs,live bees
CM1006,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,9,9,INPUT,Thymol,1,G133A,Piece,No clinical signs,
CM1734,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,8,13,SAMPLE,,,,.,No clinical signs,pollen sample for pesticide analysis
CM1154,89D81AA2C010D67185C9217788CBCCF6,5,11,2020,8,24,OUTPUT,No input-output,0.3,G167A,Kilogram,No clinical signs,feeder
CM1081,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,9,21,OUTPUT,Queen excluder,0.6,G167A,Kilogram,No clinical signs,"""Removed bee emptier	"""
CM196,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM920,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,6,8,SAMPLE,,,,.,No clinical signs,
CM520,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,11,12,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM45,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,5,15,SAMPLE,,,,.,No clinical signs,sample for virus test
CM330,89D81AA2C010D67185C9217788CBCCF6,5,7,2019,9,27,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1000,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,9,3,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM703,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,4,25,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads sticking out the cells,few bees
CM607,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1170,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,4,28,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM58,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,5,29,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM1754,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,7,8,CLINICAL SIGNS,,,,.,Phoretic beetles-unusual larvae or eggs,no varrora in bottom tray
CM1519,89D81AA2C010D67185C9217788CBCCF6,6,19,2020,5,15,INPUT,Super + 10 frames,7.07,G167A,Kilogram,No clinical signs,8 frame honey supper with laminated wax
CM281,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,5,14,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads sticking out the cells,on frame 10
CM602,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,9,26,OUTPUT,Super + 10 frames,14.1,G167A,Kilogram,No clinical signs,Remove honey supper with honey left from extraction
CM1238,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,6,22,INPUT,Empty frame,0.75,G167A,Kilogram,No clinical signs,"""3 frames added	"""
CM104,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,3,27,INPUT,Super + 10 frames,10,G167A,Kilogram,No clinical signs,Upper nest with laminated wax
CM1716,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,4,7,INPUT,Sucrose,0.81,G167A,Kilogram,No clinical signs,apifonda
CM147,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,7,30,CLINICAL SIGNS,,,,.,Slumped larvae,
CM689,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2019,7,11,INPUT,Queen excluder,1,G167A,Kilogram,No clinical signs,queen excluder added
CM332,89D81AA2C010D67185C9217788CBCCF6,5,9,2019,9,27,INPUT,Thymol,1,G133A,Piece,No clinical signs,Apply Apiguard- treatment tray
CM498,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,8,16,INPUT,Sucrose,6.25,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM594,89D81AA2C010D67185C9217788CBCCF6,6,9,2019,7,9,OUTPUT,Honey,30.3,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM848,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,8,28,INPUT,Sucrose,6,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM429,5BC8557A401F84B44F1BF03B71F3CF7C,1,8,2019,8,19,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol added
CM1348,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,8,17,INPUT,Sucrose,4,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM982,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,8,7,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,apifonda
CM651,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,4,25,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super + 10 frames
CM1634,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,8,21,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol added
CM1341,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,7,28,OTHER,,,,.,No clinical signs,384 dead bees in front of hive
CM386,89D81AA2C010D67185C9217788CBCCF6,6,6,2019,4,13,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1177,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,6,23,OTHER,,,,.,No clinical signs,555 dead bees in front of hive
CM1274,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,4,28,OTHER,,,,.,No clinical signs,153 dead bees in front of hive
CM457,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,4,24,OTHER,,,,.,No clinical signs,97 dead bees in front of hive
CM547,89D81AA2C010D67185C9217788CBCCF6,6,9,2020,1,21,CLINICAL SIGNS,,,,.,Dead colony,
CM1272,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,9,23,OTHER,,,,.,No clinical signs,"""new quen added	"""
CM681,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2019,5,15,OTHER,,,,.,No clinical signs,27 dead bees in front of hive
CM1143,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,7,28,OUTPUT,Foundation comb,0.04,G167A,Kilogram,No clinical signs,burr comb removed
CM1113,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,5,22,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM1586,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,6,18,OUTPUT,Foundation comb,0.0634,G167A,Kilogram,No clinical signs,burr comb removed
CM1248,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,7,28,OTHER,,,,.,No clinical signs,381 dead bees in front of hive
CM1304,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,8,17,OUTPUT,Foundation comb,6.81,G167A,Kilogram,No clinical signs,"""frames 21	"""
CM1132,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,8,12,INPUT,Amitraz,2,G133A,Piece,No clinical signs,Apply Apivar treatment- stripes
CM306,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2019,7,8,OUTPUT,Super + 10 frames,4.91,G167A,Kilogram,No clinical signs,"""removed super with 10 combs	"""
CM232,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,6,28,INPUT,Queen excluder,0.8,G167A,Kilogram,No clinical signs,
CM534,5BC8557A401F84B44F1BF03B71F3CF7C,2,9,2019,5,14,SAMPLE,,,,.,No clinical signs,brood sample
CM571,89D81AA2C010D67185C9217788CBCCF6,5,8,2019,6,8,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1596,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,8,13,SAMPLE,,,,.,No clinical signs,honey sample for pesticide analysis
CM883,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,5,3,INPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM1320,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,4,22,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM585,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,5,14,INPUT,Live bees,4,G133A,Piece,No clinical signs,Queen cells from other colonies
CM1301,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,8,17,SAMPLE,,,,.,No clinical signs,pollen sample for pesticide analysis
CM78,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,6,11,OUTPUT,Brood comb,0.017,G167A,Kilogram,No clinical signs,
CM706,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,5,15,SAMPLE,,,,.,No clinical signs,sample to test for virus
CM1054,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,3,23,OUTPUT,Foundation comb,0.5,G167A,Kilogram,No clinical signs,1 comb frame
CM954,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,7,15,OUTPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM1103,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM361,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,11,1,OUTPUT,Sucrose,2.7,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM505,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,11,8,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM902,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,7,31,SAMPLE,,,,.,No clinical signs,
CM204,89D81AA2C010D67185C9217788CBCCF6,5,10,2019,12,30,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM8,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM596,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,10,10,OUTPUT,No input-output,5.9,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM962,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,8,24,SAMPLE,,,,.,No clinical signs,Sample for varroa
CM191,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,1,21,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM168,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,9,25,SAMPLE,,,,.,No clinical signs,sample for virus test
CM16,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,4,3,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM1235,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,9,30,SAMPLE,,,,.,No clinical signs,"""Sample for virus	"""
CM490,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM13,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM552,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,10,11,CLINICAL SIGNS,,,,.,Dead colony,"""colony dead	"""
CM514,89D81AA2C010D67185C9217788CBCCF6,6,7,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM280,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,4,4,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM49,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,5,15,CLINICAL SIGNS,,,,.,Slumped larvae,
CM838,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2019,7,8,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM1087,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,4,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1240,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,5,14,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1475,89D81AA2C010D67185C9217788CBCCF6,6,12,2020,10,29,OUTPUT,Super + 10 frames,7.4,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM1333,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,6,23,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1028,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,4,26,INPUT,Super + 10 frames,6.9,G167A,Kilogram,No clinical signs,8 frame honey supper with laminated wax
CM1764,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,8,13,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM80,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,6,14,CLINICAL SIGNS,,,,.,Black shiny honey bees,
CM1783,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,5,13,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1060,89D81AA2C010D67185C9217788CBCCF6,6,11,2020,4,8,INPUT,Super + 10 frames,7.36,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM699,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,4,4,CLINICAL SIGNS,,,,.,Traces of diarrhea,signs of diarrhea
CM245,89D81AA2C010D67185C9217788CBCCF6,5,1,2019,8,30,OUTPUT,Honey,23.4,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM1661,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,6,18,CLINICAL SIGNS,,,,.,Spotty brood pattern,to some extent
CM1496,89D81AA2C010D67185C9217788CBCCF6,6,19,2020,7,21,INPUT,Super + 10 frames,7.3,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM434,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2019,8,8,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM133,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,7,15,CLINICAL SIGNS,,,,.,Mummified larvae,
CM1317,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,9,23,INPUT,Sucrose,0.3,G167A,Kilogram,No clinical signs,apifonda
CM347,89D81AA2C010D67185C9217788CBCCF6,6,7,2019,3,27,INPUT,Super + 10 frames,10,G167A,Kilogram,No clinical signs,Upper nest with laminated wax
CM1729,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2020,4,9,INPUT,Sucrose,0.81,G167A,Kilogram,No clinical signs,apifonda
CM109,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,5,30,QUEEN LOSS,,,,.,No clinical signs,"""No queen	"""
CM783,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2019,6,18,INPUT,Foundation comb,4,G294A,hiveframe,No clinical signs,"""frame added no. 7-1	"""
CM277,89D81AA2C010D67185C9217788CBCCF6,5,6,2019,9,13,INPUT,Thymol,1,G133A,Piece,No clinical signs,Apply Apiguard- treatment tray
CM181,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,8,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM155,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,8,30,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM292,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2019,8,28,INPUT,Sucrose,6,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM472,89D81AA2C010D67185C9217788CBCCF6,6,7,2019,9,11,INPUT,Thymol,1,G133A,Piece,No clinical signs,Apply Apiguard- treatment tray
CM558,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,9,23,INPUT,Sucrose,5,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM1535,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,10,21,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM825,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,9,18,INPUT,Sucrose,2,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM1645,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,5,13,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super added + frames no. 31-40 app 5 kg
CM862,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,8,19,INPUT,Sucrose,6.25,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM925,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,6,17,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1257,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,8,17,INPUT,Sucrose,5,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM768,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2019,8,21,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol added
CM1401,5BC8557A401F84B44F1BF03B71F3CF7C,2,9,2020,8,18,INPUT,Sucrose,5,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM378,89D81AA2C010D67185C9217788CBCCF6,5,8,2019,3,14,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1678,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,9,4,INPUT,Sucrose,6,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM1353,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,8,27,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol added
CM535,5BC8557A401F84B44F1BF03B71F3CF7C,2,9,2019,5,29,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super added
CM977,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,8,17,INPUT,Sucrose,6.6,G167A,Kilogram,No clinical signs,ApiInvert
CM802,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,4,24,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super added + frames no. 11-20
CM674,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,8,20,INPUT,Thymol,1,G133A,Piece,No clinical signs,thymol addet
CM312,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2019,8,16,OTHER,,,,.,No clinical signs,398 dead bees in front of hive
CM1435,89D81AA2C010D67185C9217788CBCCF6,6,11,2020,7,10,OUTPUT,Honey,59.4,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM733,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2019,7,30,OTHER,,,,.,No clinical signs,501 dead bees in front of hive
CM663,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,6,3,OTHER,,,,.,No clinical signs,127 dead bees in front of hive
CM779,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2019,4,23,OTHER,,,,.,No clinical signs,62 dead bees in front of hive
CM548,89D81AA2C010D67185C9217788CBCCF6,5,1,2020,1,21,CLINICAL SIGNS,,,,.,Dead colony,Dead colony - Cold (top hole was open) and starvation (frames with almost no honey)
CM1017,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,5,13,OTHER,,,,.,No clinical signs,73 dead bees in front of hive
CM655,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,6,3,OTHER,,,,.,No clinical signs,171 dead bees in front of hive
CM1258,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,8,17,OTHER,,,,.,No clinical signs,dead drones above queenexcluder >50
CM402,89D81AA2C010D67185C9217788CBCCF6,5,4,2019,9,12,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1723,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,4,7,OTHER,,,,.,No clinical signs,moved from winter location in Hinnerup to Foulum
CM313,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2019,9,4,OTHER,,,,.,No clinical signs,245 dead bees in front of hive
CM1605,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,9,4,OTHER,,,,.,No clinical signs,queen marked - must have hatched a new
CM1024,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,7,21,INPUT,Amitraz,2,G133A,Piece,No clinical signs,Apply Apivar treatment- stripes
